id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
1;ig.me;f;f;t;DATA_INTERESTING_DESC_YES_PII,DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
2;nps.airindia.in;f;t;t;DATA_INTERESTING_DESC_YES_PII,DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
3;mrspin.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
4;superprof.es;f;t;t;DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
5;cns-sante-lu.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
6;aba2.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
7;fashionnovagb.attn.tv;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
8;traba.page.link;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
9;financiar24.es;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
10;www.snagshout.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
11;vent.africa;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
12;auth.usbank.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
13;pp24.co;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
14;bnc.lt;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
15;idmcn-web.deployer.mx;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
16;gallery-victoria.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
17;t.me;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
18;4go.uk;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
19;mdslt.win;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
20;sports.bet9ja.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
21;amznsa.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
22;bbva.netcash-clientes-es.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
23;wnc.es;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
24;dhljjs.top;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
25;txts.ly;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
26;eskimo.page.link;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
27;clk.mk;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
28;turbotax.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
29;wilkinsonswordintuition.zptr.im;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
30;tmbo.la;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
31;boom.lat;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
32;9mc.onelink.me;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
33;square-register.onelink.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
34;url.ez4u.pt;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
35;www.freestuff.eu;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
36;nxt.to;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
37;ejmj.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
38;versalie.sandbox01.wheel.health;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
39;amazon.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
40;u.to;f;f;f;DATA_INTERESTING_DESC_NO_AD
41;accuweb.cloud;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
42;bbva.es-notificacionapp.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
43;wmecs.net;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
44;apple.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
45;pcpe1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
46;fscr.io;f;f;f;DATA_INTERESTING_DESC_NO_AD
47;gamblii.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
48;vimeo.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
49;18u.one;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
50;veriff.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
51;app.konto.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
52;cash.app;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
